FROM,TO,R,X,B,STATUS
1,2,0.00624,0.0024,7.83,1
2,3,0.00624,0.0024,7.83,1
3,4,0.00624,0.0024,7.83,1
4,5,0.00624,0.0024,7.83,1
5,6,0.00624,0.0024,7.83,1
6,7,0.00624,0.0024,7.83,1
7,8,0.00624,0.0024,7.83,1
8,9,0.00624,0.0024,7.83,1
9,10,0.00624,0.0024,7.83,1
10,11,0.00624,0.0024,7.83,1
11,12,0.00624,0.0024,7.83,1
12,13,0.00624,0.0024,7.83,1
13,14,0.00624,0.0024,7.83,1
14,15,0.00624,0.0024,7.83,1
15,16,0.00624,0.0024,7.83,1
16,17,0.00624,0.0024,7.83,1
17,18,0.00624,0.0024,7.83,1
18,19,0.00624,0.0024,7.83,1
19,20,0.00624,0.0024,7.83,1
20,21,0.00624,0.0024,7.83,1
21,22,0.00624,0.0024,7.83,1
22,23,0.00624,0.0024,7.83,1
23,24,0.00624,0.0024,7.83,1
24,25,0.00624,0.0024,7.83,1
25,26,0.00624,0.0024,7.83,1
26,27,0.00624,0.0024,7.83,1
27,28,0.00624,0.0024,7.83,1
28,29,0.00624,0.0024,7.83,1
29,30,0.00624,0.0024,7.83,1
30,31,0.00624,0.0024,7.83,1
31,32,0.00624,0.0024,7.83,1
32,33,0.00624,0.0024,7.83,1
33,34,0.00624,0.0024,7.83,1
34,35,0.00624,0.0024,7.83,1
35,36,0.00624,0.0024,7.83,1
36,37,0.00624,0.0024,7.83,1
37,38,0.00624,0.0024,7.83,1
38,39,0.00624,0.0024,7.83,1
39,40,0.00624,0.0024,7.83,1
40,41,0.00624,0.0024,7.83,1
41,42,0.00624,0.0024,7.83,1
42,43,0.00624,0.0024,7.83,1
43,44,0.00624,0.0024,7.83,1
44,45,0.00624,0.0024,7.83,1
45,46,0.00624,0.0024,7.83,1
46,47,0.00624,0.0024,7.83,1
47,48,0.00624,0.0024,7.83,1
48,49,0.00624,0.0024,7.83,1
49,50,0.00624,0.0024,7.83,1
50,51,0.00624,0.0024,7.83,1
1,52,0.00624,0.0024,7.83,1
52,53,0.00624,0.0024,7.83,1
53,54,0.00624,0.0024,7.83,1
54,55,0.00624,0.0024,7.83,1
55,56,0.00624,0.0024,7.83,1
56,57,0.00624,0.0024,7.83,1
57,58,0.00624,0.0024,7.83,1
58,59,0.00624,0.0024,7.83,1
59,60,0.00624,0.0024,7.83,1
60,61,0.00624,0.0024,7.83,1
61,62,0.00624,0.0024,7.83,1
62,63,0.00624,0.0024,7.83,1
63,64,0.00624,0.0024,7.83,1
64,65,0.00624,0.0024,7.83,1
65,66,0.00624,0.0024,7.83,1
66,67,0.00624,0.0024,7.83,1
67,68,0.00624,0.0024,7.83,1
68,69,0.00624,0.0024,7.83,1
69,70,0.00624,0.0024,7.83,1
70,71,0.00624,0.0024,7.83,1
71,72,0.00624,0.0024,7.83,1
72,73,0.00624,0.0024,7.83,1
73,74,0.00624,0.0024,7.83,1
74,75,0.00624,0.0024,7.83,1
75,76,0.00624,0.0024,7.83,1
76,77,0.00624,0.0024,7.83,1
69,78,0.00624,0.0024,7.83,1
78,79,0.00624,0.0024,7.83,1
79,80,0.00624,0.0024,7.83,1
80,81,0.00624,0.0024,7.83,1
81,82,0.00624,0.0024,7.83,1
82,83,0.00624,0.0024,7.83,1
83,84,0.00624,0.0024,7.83,1
84,85,0.00624,0.0024,7.83,1
60,86,0.00624,0.0024,7.83,1
86,87,0.00624,0.0024,7.83,1
87,88,0.00624,0.0024,7.83,1
88,89,0.00624,0.0024,7.83,1
89,90,0.00624,0.0024,7.83,1
90,91,0.00624,0.0024,7.83,1
91,92,0.00624,0.0024,7.83,1
92,93,0.00624,0.0024,7.83,1
93,94,0.00624,0.0024,7.83,1
94,95,0.00624,0.0024,7.83,1
95,96,0.00624,0.0024,7.83,1
96,97,0.00624,0.0024,7.83,1
97,98,0.00624,0.0024,7.83,1
98,99,0.00624,0.0024,7.83,1
99,100,0.00624,0.0024,7.83,1
100,101,0.00624,0.0024,7.83,1
1,102,0.00624,0.0024,7.83,1
102,103,0.00624,0.0024,7.83,1
103,104,0.00624,0.0024,7.83,1
104,105,0.00624,0.0024,7.83,1
105,106,0.00624,0.0024,7.83,1
106,107,0.00624,0.0024,7.83,1
107,108,0.00624,0.0024,7.83,1
108,109,0.00624,0.0024,7.83,1
109,110,0.00624,0.0024,7.83,1
110,111,0.00624,0.0024,7.83,1
111,112,0.00624,0.0024,7.83,1
112,113,0.00624,0.0024,7.83,1
113,114,0.00624,0.0024,7.83,1
114,115,0.00624,0.0024,7.83,1
115,116,0.00624,0.0024,7.83,1
116,117,0.00624,0.0024,7.83,1
117,118,0.00624,0.0024,7.83,1
118,119,0.00624,0.0024,7.83,1
119,120,0.00624,0.0024,7.83,1
120,121,0.00624,0.0024,7.83,1
116,122,0.00624,0.0024,7.83,1
122,123,0.00624,0.0024,7.83,1
123,124,0.00624,0.0024,7.83,1
124,125,0.00624,0.0024,7.83,1
125,126,0.00624,0.0024,7.83,1
111,127,0.00624,0.0024,7.83,1
127,128,0.00624,0.0024,7.83,1
128,129,0.00624,0.0024,7.83,1
129,130,0.00624,0.0024,7.83,1
130,131,0.00624,0.0024,7.83,1
131,132,0.00624,0.0024,7.83,1
132,133,0.00624,0.0024,7.83,1
133,134,0.00624,0.0024,7.83,1
134,135,0.00624,0.0024,7.83,1
135,136,0.00624,0.0024,7.83,1
106,137,0.00624,0.0024,7.83,1
137,138,0.00624,0.0024,7.83,1
138,139,0.00624,0.0024,7.83,1
139,140,0.00624,0.0024,7.83,1
140,141,0.00624,0.0024,7.83,1
141,142,0.00624,0.0024,7.83,1
142,143,0.00624,0.0024,7.83,1
143,144,0.00624,0.0024,7.83,1
144,145,0.00624,0.0024,7.83,1
145,146,0.00624,0.0024,7.83,1
146,147,0.00624,0.0024,7.83,1
147,148,0.00624,0.0024,7.83,1
148,149,0.00624,0.0024,7.83,1
149,150,0.00624,0.0024,7.83,1
150,151,0.00624,0.0024,7.83,1
